,total_utility_bill,commission,sex,age,car,marital_status,child,citizenthip
69,28.21,7.41,1,1,1,1,1,1
70,45.65,3.95,1,0,0,0,2,2
71,1.32,1.01,0,0,1,1,1,1
72,34.59,4.77,1,0,0,1,2,1
73,5.57,1.03,0,0,0,1,2,0
74,18.39,4.35,0,0,1,0,0,2
75,40.61,8.39,1,1,0,0,2,2
76,45.3,3.72,0,1,1,1,0,3
77,22.4,8.95,0,1,1,1,2,1
78,27.18,9.13,0,0,1,0,3,1
79,4.95,3.12,0,1,0,1,2,0
80,28.66,3.47,1,1,0,0,0,3
81,11.53,7.63,0,1,1,1,0,2
82,49.37,3.71,1,0,0,0,3,1
83,31.4,4.39,1,1,1,1,1,0
84,44.03,7.43,1,1,1,1,1,1
85,1.89,4.86,1,0,0,0,1,3
86,47.36,2.0,0,0,0,0,3,3
87,22.3,5.37,0,1,1,1,2,1
88,15.99,3.09,0,1,1,0,2,0
89,11.8,8.71,0,1,0,1,2,0
90,37.77,2.53,1,0,0,0,1,2
91,28.27,9.2,1,1,1,1,3,3
92,8.7,9.44,1,0,1,1,0,2
93,22.16,4.24,1,1,1,1,2,2
94,31.38,2.22,0,1,0,0,3,0
95,22.98,8.98,0,0,1,0,1,1
96,47.84,3.53,0,0,0,1,3,1
97,29.83,2.99,0,1,1,1,0,1
98,15.55,1.24,0,0,0,0,3,2
99,49.68,3.81,0,1,1,1,2,3
100,32.01,1.13,1,0,1,1,3,3
101,32.43,6.15,0,1,0,0,0,1
102,10.28,5.12,0,0,1,1,1,0
103,24.49,9.11,0,1,0,1,1,1
104,46.41,6.27,0,1,0,0,1,0
105,24.56,6.66,1,0,1,0,1,0
106,29.72,2.76,0,0,0,0,3,0
107,37.34,4.52,1,0,1,0,2,1
108,35.56,4.55,1,1,1,0,0,0
109,17.11,4.54,0,1,0,0,3,2
110,37.03,9.32,0,0,1,1,2,3
111,16.54,8.32,0,1,0,0,3,2
112,19.9,4.75,1,1,0,1,3,3
113,38.81,3.95,1,1,1,0,2,3
114,37.96,1.25,0,1,1,1,0,3
115,29.72,9.61,0,1,0,0,0,2
116,44.6,4.42,1,0,1,1,3,2
117,33.28,9.27,1,1,0,0,1,3
118,46.13,3.08,1,0,1,1,2,2
119,38.3,3.23,0,1,1,1,2,2
120,35.47,6.01,0,0,1,1,2,1
121,5.37,9.38,1,0,1,1,3,2
122,17.19,9.06,1,1,1,1,2,1
123,18.69,9.47,0,1,1,0,1,3
124,32.37,3.79,1,0,1,0,0,3
125,21.89,2.8,0,1,0,1,2,1
126,44.18,8.99,0,1,1,1,2,2
127,39.98,2.86,0,0,1,0,0,3
128,32.21,8.71,1,0,0,1,3,1
129,42.95,4.33,1,1,1,1,1,2
130,46.14,1.87,0,0,1,1,3,0
131,21.82,8.09,0,1,1,1,0,2
132,22.26,5.75,1,0,1,1,2,2
133,48.02,7.55,1,1,0,1,1,0
134,7.91,2.36,1,0,0,1,3,3
135,44.32,4.08,1,1,1,0,3,2
136,44.98,8.02,0,0,0,0,2,1
137,39.12,2.52,1,0,1,0,3,1
138,38.88,9.82,0,1,0,0,3,3
139,25.44,9.4,1,1,1,0,2,2
140,16.1,4.41,1,0,1,0,0,3
141,48.12,6.96,1,1,1,1,0,3
142,9.93,5.78,0,0,0,0,2,1
143,47.43,2.88,1,1,0,0,1,2
144,17.16,8.07,1,1,1,1,1,2
145,12.78,3.74,0,1,1,0,2,3
146,40.95,6.24,1,0,0,1,2,2
147,38.46,7.22,1,1,0,0,3,0
148,16.1,6.98,1,1,0,1,2,1
149,6.14,7.23,1,0,1,0,2,3
150,37.82,7.03,0,0,0,0,2,2
151,39.77,6.41,0,0,0,0,1,2
152,16.94,1.03,0,0,1,1,0,1
153,17.7,5.11,1,1,0,0,0,2
154,9.92,4.09,1,1,0,0,3,0
155,30.67,4.42,1,0,0,0,1,1
156,47.88,5.69,1,1,0,1,0,3
157,22.81,6.62,1,1,1,1,3,2
158,40.3,9.77,1,1,0,0,2,2
159,8.7,8.77,1,1,0,0,0,3
160,32.91,9.53,1,0,1,1,1,3
161,36.0,7.46,0,0,0,1,3,2
162,10.81,3.18,0,1,0,0,0,3
163,14.1,8.4,0,1,1,0,2,0
164,41.57,6.15,1,0,1,1,0,0
165,45.74,5.93,0,1,1,1,3,0
166,38.79,2.76,1,1,0,1,0,2
167,32.6,2.72,1,0,0,1,2,1
168,38.98,3.35,0,0,1,1,1,3
169,16.9,2.25,0,1,0,0,0,2
170,19.44,7.36,1,1,1,1,1,3
171,17.37,4.71,1,0,1,0,1,3
172,3.94,8.15,0,0,0,0,3,2
173,12.63,9.22,0,0,1,1,1,0
174,14.29,1.28,0,1,0,0,2,2
175,21.72,8.79,1,1,0,0,0,3
176,13.66,9.82,1,1,1,0,2,1
177,5.05,4.76,1,1,0,1,0,2
178,1.31,5.37,0,0,1,0,1,0
179,3.58,8.78,0,1,0,1,3,2
180,15.25,1.11,0,1,1,1,3,3
181,25.04,7.14,0,0,1,0,0,0
182,16.15,6.07,1,1,0,0,3,2
183,30.33,2.44,1,0,0,0,0,0
184,23.03,3.18,1,1,1,1,3,1
185,49.98,9.35,1,1,1,1,3,2
186,8.74,6.99,1,1,0,1,0,1
187,20.98,1.49,1,1,1,1,2,3
188,42.19,3.74,0,0,0,1,0,0
189,18.0,8.03,0,1,0,0,2,2
190,42.57,5.51,0,1,0,0,3,1
191,3.56,8.43,0,1,1,1,2,2
192,4.51,9.14,0,0,0,0,0,3
193,30.87,7.63,0,1,0,0,0,1
194,26.77,6.81,0,0,0,0,0,2
195,21.96,6.63,1,1,1,1,1,2
196,5.65,9.16,0,1,1,1,2,0
197,32.73,9.74,0,1,1,1,3,2
198,4.05,4.71,1,1,0,0,1,2
199,27.29,9.62,0,0,1,0,0,2
200,31.68,9.81,1,0,1,0,2,0
201,22.7,5.16,0,1,1,0,2,0
202,9.67,4.19,1,1,1,0,0,2
203,3.32,6.74,1,1,0,0,3,1
204,15.86,5.66,0,1,0,0,1,1
205,48.96,2.23,1,1,1,0,0,0
206,24.82,4.75,1,1,0,1,3,2
207,41.03,9.23,0,0,1,0,1,1
208,4.28,5.45,0,0,0,1,3,0
209,15.53,7.11,0,1,1,1,3,2
210,17.86,7.27,1,0,0,1,1,2
211,49.69,5.85,1,0,0,0,0,2
212,24.13,6.41,0,1,1,0,0,0
213,44.12,8.63,1,0,1,0,0,0
214,27.31,3.39,0,0,1,0,1,0
215,15.17,1.67,1,0,1,1,3,3
216,21.77,7.11,0,1,0,1,3,1
217,27.85,3.3,0,0,1,1,0,1
218,47.59,2.73,0,1,1,0,0,2
219,48.53,8.49,1,0,1,0,3,2
220,15.53,9.87,1,1,1,0,0,2
221,34.59,7.43,0,1,1,0,0,2
222,43.84,4.93,0,1,1,1,0,0
223,43.16,7.53,1,1,1,0,2,2
224,33.84,1.82,0,0,1,0,0,2
225,40.59,6.31,0,0,0,1,1,2
226,21.99,4.41,0,1,0,1,0,1
227,12.64,6.69,1,0,0,0,2,0
228,13.94,6.98,1,1,1,1,1,2
229,39.99,5.15,1,1,1,0,1,3
230,16.11,6.93,1,0,1,0,0,0
231,4.98,6.27,0,0,1,0,2,0
232,12.65,8.6,1,1,1,1,0,0
233,39.66,3.07,0,1,1,1,2,1
234,49.87,6.28,1,0,0,0,2,1
235,41.05,5.95,1,0,0,1,3,3
236,31.19,8.12,1,0,0,1,0,0
237,29.44,7.05,1,1,1,0,1,1
238,37.42,7.03,1,1,0,0,3,0
239,33.75,2.13,1,0,1,0,3,0
240,44.47,6.33,1,0,0,1,1,3
241,14.75,2.35,1,1,1,1,2,2
242,42.78,6.73,1,1,1,0,0,1
243,42.42,7.45,1,0,1,0,3,0
244,18.75,4.39,1,0,1,0,0,3
245,18.9,3.23,1,1,0,0,1,3
246,12.57,4.13,0,0,1,1,1,2
247,47.8,1.78,1,1,0,1,1,3
248,43.49,3.92,1,1,0,0,1,2
249,23.88,1.8,1,1,1,1,1,0
250,39.58,2.91,0,1,1,0,1,3
251,34.53,6.75,0,0,1,0,1,3
252,26.88,9.25,1,1,1,0,1,0
253,44.11,6.54,1,1,0,0,3,1
254,34.63,5.31,1,1,1,1,1,0
255,15.85,1.58,1,0,1,1,1,2
256,47.61,5.59,0,0,1,1,3,3
257,34.05,8.06,0,1,1,0,3,2
258,7.65,1.62,1,0,0,1,3,3
259,12.53,7.25,0,0,0,0,3,3
260,4.96,7.49,0,0,0,1,0,0
261,1.24,2.13,0,0,0,0,0,3
262,25.94,5.2,1,0,1,1,2,2
263,11.59,5.75,1,0,1,0,1,2
264,15.14,2.82,1,0,0,0,3,0
265,41.65,2.04,1,0,1,1,2,2
266,17.46,3.28,0,0,0,0,2,2
267,6.22,4.95,0,1,1,1,2,3
268,15.86,9.88,1,1,1,1,0,0
269,7.18,3.85,0,0,1,1,3,3
270,47.08,8.13,1,0,0,0,2,2
271,13.06,2.42,0,1,0,0,2,0
272,49.62,7.14,0,0,1,1,0,3
273,34.58,4.87,1,0,1,1,3,2
274,17.93,7.81,1,0,1,0,2,0
275,27.78,7.5,0,1,1,1,3,1
276,28.27,8.58,1,0,0,0,3,2
277,15.25,5.48,1,1,1,0,2,1
278,36.56,3.74,0,0,1,1,0,0
279,46.25,5.91,0,1,0,0,3,3
280,37.48,1.19,0,0,1,1,2,3
281,28.57,9.54,1,0,0,1,3,1
282,21.81,8.24,1,1,0,0,3,2
283,43.79,5.58,1,1,0,0,1,1
284,1.71,3.46,1,0,1,0,0,2
285,25.01,7.71,0,1,1,1,3,2
286,6.37,8.53,0,1,0,1,1,2
287,29.22,6.4,1,1,1,0,1,3
288,31.46,4.43,0,1,1,1,2,3
289,30.82,1.72,1,0,1,0,1,2
290,48.87,3.42,0,1,0,0,3,2
291,10.79,3.53,0,1,0,0,1,1
292,44.72,3.74,0,1,0,0,0,0
293,38.98,9.49,0,1,1,0,1,1
294,46.79,2.0,0,0,0,1,0,3
295,14.1,1.07,0,1,1,0,2,0
296,49.48,4.5,0,0,0,0,1,3
297,15.89,4.02,0,1,0,1,0,2
298,2.87,3.18,0,1,1,0,0,0
299,18.44,2.81,1,1,0,0,0,3
300,49.19,6.24,1,0,1,1,0,2
301,36.3,8.36,1,1,1,0,1,2
302,41.59,2.69,0,1,0,0,0,2
303,19.8,5.67,1,0,0,1,1,1
304,44.56,6.25,1,0,0,1,3,1
305,1.47,5.39,0,1,1,0,0,1
306,4.35,9.79,1,0,0,1,3,2
307,21.09,1.03,1,0,0,1,0,3
308,49.07,7.79,1,0,1,1,2,3
309,32.73,9.25,0,1,0,1,3,0
310,15.52,7.92,0,0,1,0,0,2
311,1.59,9.98,0,0,0,0,1,0
312,8.83,1.95,0,0,1,0,0,1
313,16.43,3.78,0,0,1,1,1,1
314,46.44,9.88,1,0,1,0,0,2
315,43.62,7.39,1,1,0,1,3,0
316,12.84,3.53,0,1,0,1,2,1
317,8.43,8.81,1,0,0,0,2,0
318,47.85,5.98,1,0,0,0,2,3
319,4.8,5.45,1,1,1,1,2,1
320,32.66,7.08,1,0,0,1,2,3
321,22.68,5.8,1,1,0,0,3,2
322,9.21,8.3,0,1,1,0,0,3
323,5.24,2.94,0,0,1,0,2,0
324,20.94,1.14,0,1,0,1,1,3
325,5.95,9.81,0,0,0,0,1,2
326,28.77,2.37,0,1,0,1,3,1
327,49.39,2.31,0,0,1,1,3,0
328,10.71,6.17,0,1,1,1,3,0
329,44.38,9.29,1,0,1,1,1,0
330,9.27,6.29,0,1,0,1,0,2
331,45.95,4.01,1,0,0,0,1,1
332,11.12,4.47,0,1,1,0,1,0
333,36.56,8.62,1,1,1,1,1,3
334,9.55,2.05,1,1,1,1,3,1
335,40.44,5.42,1,0,1,0,3,3
336,49.69,2.73,1,0,0,0,0,3
337,24.24,5.69,1,1,1,1,0,2
338,24.34,7.36,0,1,0,1,3,0
339,10.17,6.45,0,1,1,1,1,0
340,6.77,7.5,0,1,1,0,0,3
341,4.92,1.27,1,1,0,1,3,1
342,4.97,9.35,0,0,0,0,0,0
343,16.89,8.11,1,1,1,1,1,0
344,11.88,8.92,0,0,0,1,2,1
345,31.15,6.04,0,0,1,1,1,0
346,16.6,2.81,1,0,1,0,1,0
347,44.83,1.12,1,1,1,1,0,2
348,23.19,5.03,1,1,1,0,0,0
349,21.03,5.21,0,0,0,0,1,0
350,5.41,4.65,0,1,0,1,3,2
351,31.41,4.86,0,1,1,1,0,0
352,29.09,6.87,0,0,0,1,1,2
353,22.21,2.7,1,1,1,0,2,3
354,24.62,1.63,0,0,0,0,0,2
355,8.08,5.35,0,1,0,1,2,1
356,43.87,1.05,0,0,0,1,3,2
357,25.18,2.09,0,0,1,1,0,1
358,22.52,1.88,0,0,1,1,0,2
359,41.12,6.08,0,0,1,1,0,0
360,5.01,1.56,1,0,1,0,3,3
361,26.32,2.97,1,1,1,1,2,3
362,46.75,9.32,1,0,1,0,2,0
363,16.6,6.92,1,0,0,1,2,0
364,9.59,6.55,1,1,1,1,1,1
365,23.63,7.55,0,1,0,0,2,0
366,7.92,3.24,0,0,0,1,2,3
367,40.48,1.44,0,1,1,0,3,1
368,1.04,8.7,0,0,0,0,2,0
369,16.06,7.9,1,0,1,1,0,3
370,2.05,8.79,0,0,1,1,1,1
371,43.31,9.41,0,0,1,1,0,1
372,38.63,6.48,1,1,1,0,0,3
373,40.18,4.59,0,0,1,1,1,2
374,26.89,9.76,1,0,1,1,1,1
375,36.4,8.92,0,0,1,0,0,2
376,4.53,4.41,0,1,1,1,3,1
377,12.18,2.94,0,1,0,1,3,1
378,21.36,8.8,1,0,1,0,1,2
379,31.46,7.15,1,0,0,1,0,2
380,40.81,4.48,0,0,1,0,2,1
381,16.39,3.76,0,1,1,1,2,2
382,4.15,9.26,1,1,1,1,2,3
383,31.1,4.79,1,0,0,0,0,1
384,36.38,8.51,1,1,1,1,2,3
385,21.95,5.42,1,1,0,0,3,0
386,44.5,9.32,0,1,1,0,1,3
387,5.09,2.51,1,1,1,1,3,3
388,39.36,1.66,0,1,0,1,1,1
389,31.47,8.79,0,1,1,0,3,3
390,44.67,2.36,1,1,0,1,3,0
391,7.91,3.32,1,0,1,0,1,1
392,34.62,2.34,0,1,1,0,1,2
393,22.88,1.98,0,0,1,1,3,2
394,20.67,8.42,0,0,1,1,3,2
395,5.33,1.39,1,1,0,0,1,3
396,34.94,6.87,1,1,0,1,2,3
397,15.54,3.07,0,0,0,0,1,1
398,33.41,7.95,0,0,0,1,3,2
399,44.18,1.28,0,1,1,0,3,1
400,28.02,5.47,1,1,0,1,0,0
401,37.87,1.18,1,0,1,1,1,2
402,47.44,9.18,0,0,0,1,2,3
403,27.29,1.04,0,1,0,0,3,2
404,6.43,9.34,1,0,1,1,0,3
405,20.46,2.46,1,1,0,0,3,0
406,28.81,1.69,0,1,0,1,1,2
407,35.07,8.92,1,1,0,1,2,3
408,37.79,5.24,1,1,1,0,0,1
409,25.34,4.87,0,1,1,1,1,3
410,28.59,6.7,0,1,1,0,3,3
411,19.96,2.21,0,0,0,1,2,2
412,37.74,1.55,0,1,1,0,3,2
413,6.74,5.72,1,0,0,0,3,1
414,32.88,6.34,1,0,0,1,3,2
415,38.59,9.06,0,1,0,1,1,0
416,1.66,8.16,1,1,0,0,2,1
417,1.21,8.05,1,1,1,0,1,0
418,20.11,4.88,1,1,1,1,1,2
419,49.64,8.49,0,1,1,1,0,3
420,7.69,9.46,1,1,1,1,2,1
421,8.8,4.63,0,1,0,0,3,3
422,15.75,3.59,0,1,1,0,2,1
423,16.43,1.26,0,1,1,1,0,3
424,26.66,6.05,1,1,1,1,3,0
425,45.67,7.82,0,1,1,1,0,1
426,21.81,1.17,1,0,1,1,0,1
427,32.07,9.21,1,0,0,0,0,2
428,6.05,9.2,0,1,0,0,2,2
429,41.89,2.6,1,1,1,0,2,2
430,9.37,1.68,0,0,1,1,3,3
431,42.83,4.97,1,0,0,0,2,3
432,14.04,2.26,0,1,1,1,1,1
433,6.97,8.47,0,0,0,1,1,0
434,42.6,4.75,1,0,0,0,3,3
435,6.71,3.37,1,1,0,0,1,3
436,43.19,5.51,0,0,0,0,1,2
437,43.54,6.15,0,0,0,1,1,1
438,25.43,9.94,1,1,1,1,2,2
439,41.77,8.5,1,1,1,0,0,1
440,5.3,9.5,0,1,0,1,2,1
441,9.9,6.02,1,1,1,0,3,0
442,15.75,1.83,0,1,0,0,3,3
443,10.35,2.32,1,0,1,1,0,3
444,14.39,7.62,1,0,0,1,3,0
445,32.92,9.56,0,1,0,1,0,1
446,1.29,7.35,1,0,1,1,0,3
447,33.97,6.03,0,0,1,1,3,0
448,14.51,9.68,0,1,1,1,1,1
449,1.58,4.35,0,1,1,1,3,0
450,38.19,7.12,1,1,1,0,0,2
451,21.77,3.07,0,0,0,0,1,2
452,4.53,7.27,1,0,1,1,1,1
453,49.54,4.25,1,1,1,1,0,3
454,7.34,4.27,1,0,1,0,1,2
455,20.69,5.42,1,1,0,0,1,0
456,21.01,7.24,0,0,1,1,0,1
457,13.38,3.46,0,0,0,0,1,3
458,28.14,4.55,0,1,0,0,2,2
459,40.14,5.67,0,0,1,0,0,2
460,11.44,9.75,1,0,0,1,3,2
461,43.83,9.84,0,0,1,0,1,0
462,7.97,5.16,0,0,0,0,1,3
463,8.17,7.84,1,1,1,1,2,3
464,15.8,4.29,0,0,1,0,2,1
465,46.81,3.74,0,1,0,0,2,2
466,2.11,4.89,1,1,1,0,3,0
467,29.38,3.09,1,0,0,1,2,1
468,25.06,9.92,0,0,0,0,0,0
469,32.98,6.43,0,1,0,0,1,3
470,19.04,3.94,0,1,0,0,1,3
471,24.64,7.97,0,0,1,1,3,1
472,46.96,8.18,0,1,1,0,3,1
473,1.84,9.25,1,0,0,1,0,2
474,41.89,2.04,1,0,0,1,0,0
475,10.88,9.02,0,0,0,1,3,0
476,39.18,6.41,0,0,0,1,3,3
477,43.76,3.19,0,1,1,0,1,2
478,37.44,3.73,0,1,1,1,1,3
479,43.83,9.59,1,0,1,0,3,1
480,32.96,3.43,0,1,1,1,3,2
481,19.4,8.16,0,0,0,0,1,0
482,14.63,4.89,0,0,1,1,0,1
483,13.72,5.23,0,1,0,0,0,0
484,30.06,7.7,0,0,1,1,0,1
485,15.49,7.77,0,1,0,0,1,0
486,25.48,4.78,1,1,1,0,3,2
487,33.24,1.79,0,1,0,1,0,1
488,25.55,1.28,1,1,1,0,3,3
489,5.03,5.17,1,1,0,1,3,3
490,46.39,2.1,0,1,1,0,2,1
491,40.37,8.31,0,1,1,0,0,0
492,21.54,1.91,1,0,1,0,0,3
493,23.75,7.38,1,0,0,1,0,2
494,39.11,7.44,1,1,1,1,1,2
495,27.59,3.58,1,0,0,1,2,3
496,1.24,2.12,0,1,0,1,2,1
497,25.75,2.73,0,0,1,1,0,3
498,25.83,7.85,1,0,0,1,1,3
499,42.89,3.48,0,1,0,0,1,1
500,41.91,3.62,0,0,0,0,2,3
501,31.07,8.86,1,1,1,0,3,1
502,37.31,1.67,1,0,1,0,3,3
503,39.77,7.98,0,1,0,1,0,1
504,27.54,7.23,0,1,1,0,3,0
505,12.09,2.01,1,1,1,1,3,0
506,43.17,1.39,1,0,0,0,2,2
507,16.65,8.44,1,1,1,0,1,1
508,18.16,1.06,1,0,1,0,3,1
509,35.76,1.13,0,0,0,0,0,0
510,27.42,2.34,1,1,1,0,0,1
511,29.78,8.84,0,0,1,1,1,1
